# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
0.0013794 -1.05000 10.07188 0.0900000036 1.0816895926    0.090 -3.232  3.4473  5.365    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.63e-17      0.00 7.454e-01 2.531e-01 2.632e-04 7.102e-05 6.441e-04 -1.000 1.464e-03 12.849 18.092 17.041 15.231 13.018 12.261 12.104
0.0013794 -1.05000 10.07188 0.1000000015 1.1711064122    0.100 -2.989  3.4817  5.305    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.08e-17      0.00 7.442e-01 2.544e-01 2.632e-04 7.102e-05 6.441e-04 -1.000 1.464e-03 12.242 17.364 15.626 13.855 12.241 11.666 11.530
0.0013794 -1.05000 10.07188 0.1129091308 1.2707019951    0.113 -2.801  3.5038  5.259    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.39e-16      0.00 7.428e-01 2.557e-01 2.632e-04 7.102e-05 6.441e-04 -1.000 1.464e-03 11.772 16.704 14.685 12.974 11.694 11.214 11.087
0.0013794 -1.05000 10.07188 0.1199999973 1.3193154249    0.120 -2.707  3.5148  5.235    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.72e-16      0.00 7.421e-01 2.564e-01 2.632e-04 7.102e-05 6.442e-04 -1.000 1.464e-03 11.537 16.334 14.235 12.562 11.427 10.987 10.866
0.0013794 -1.05000 10.07188 0.1400000006 1.4384526719    0.140 -2.523  3.5322  5.188    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.57e-16      0.00 7.405e-01 2.580e-01 2.632e-04 7.102e-05 6.442e-04 -1.000 1.464e-03 11.077 15.621 13.468 11.867 10.926 10.541 10.427
0.0013794 -1.05000 10.07188 0.1599999964 1.5372931554    0.160 -2.382  3.5433  5.149    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.48e-16      0.00 7.393e-01 2.593e-01 2.632e-04 7.102e-05 6.442e-04 -1.000 1.464e-03 10.725 15.088 12.941 11.390 10.553 10.198 10.088
0.0013794 -1.05000 10.07188 0.2000000179 1.6938791367    0.200 -2.161  3.5578  5.083    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.57e-16      0.00 7.378e-01 2.607e-01 2.632e-04 7.102e-05 6.442e-04 -1.000 1.464e-03 10.173 14.286 12.177 10.694 9.979 9.659 9.555
0.0013794 -1.05000 10.07188 0.2500000000 1.8403257998    0.250 -1.956  3.5692  5.021    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.58e-16      0.00 7.374e-01 2.611e-01 2.632e-04 7.102e-05 6.442e-04 -1.000 1.464e-03 9.659 13.570 11.510 10.082 9.453 9.157 9.059
0.0013794 -1.05000 10.07188 0.3000000119 1.9529139769    0.300 -1.798  3.5779  4.976    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.85e-18      0.00 7.376e-01 2.609e-01 2.632e-04 7.103e-05 6.442e-04 -1.000 1.464e-03 9.264 13.029 11.009 9.626 9.049 8.770 8.676
0.0013794 -1.05000 10.07188 0.3499999642 2.0434174156    0.350 -1.667  3.5852  4.942    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.55e-15      0.00 7.469e-01 2.516e-01 2.632e-04 7.102e-05 6.441e-04 -1.000 1.464e-03 8.937 12.580 10.597 9.256 8.716 8.450 8.360
0.0013794 -1.05000 10.07188 0.3877052963 2.1012163475    0.388 -1.550  3.5938  4.904    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.01e-15      0.00 7.474e-01 2.512e-01 2.632e-04 7.102e-05 6.441e-04 -1.000 1.464e-03 8.646 12.147 10.210 8.918 8.418 8.167 8.081
0.0013794 -1.05000 10.07188 0.4000000060 2.1185024399    0.400 -1.515  3.5965  4.893    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.17e-15      0.00 7.475e-01 2.510e-01 2.632e-04 7.102e-05 6.441e-04 -1.000 1.464e-03 8.557 12.017 10.092 8.816 8.327 8.080 7.996
0.0013794 -1.05000 10.07188 0.4499999881 2.1822809009    0.450 -1.337  3.6135  4.834    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.3e-15      0.00 7.475e-01 2.510e-01 2.632e-04 7.102e-05 6.441e-04 -1.000 1.464e-03 8.113 11.318 9.471 8.301 7.872 7.652 7.575
0.0013794 -1.05000 10.07188 0.5000000000 2.2374541529    0.500 -1.135  3.6408  4.787    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.27e-15      0.00 7.475e-01 2.510e-01 2.632e-04 7.102e-05 6.441e-04 -1.000 1.464e-03 7.607 10.430 8.694 7.698 7.356 7.179 7.115
0.0013794 -1.05000 10.07188 0.5500000715 2.2836583126    0.550 -0.911  3.6733  4.734    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -8.94e-15      0.00 7.812e-01 2.175e-01 2.308e-04 6.229e-05 5.653e-04 -1.000 1.282e-03 7.047 9.347 7.829 7.043 6.789 6.662 6.614
0.0013794 -1.05000 10.07188 0.6000000238 2.3211213258    0.600 -0.704  3.7032  4.685    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.46e-14      0.00 7.892e-01 2.096e-01 2.238e-04 6.043e-05 5.486e-04 -1.000 1.246e-03 6.530 8.328 7.098 6.470 6.273 6.185 6.155
0.0013794 -1.05000 10.07188 0.6100773215 2.3278218795    0.610 -0.661  3.7098  4.676    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.61e-14      0.00 7.909e-01 2.078e-01 2.221e-04 6.001e-05 5.447e-04 -1.000 1.252e-03 6.423 8.123 6.954 6.355 6.169 6.089 6.062
0.0013794 -1.05000 10.07188 0.6260553598 2.3379391709    0.626 -0.593  3.7201  4.660    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -1.89e-14      0.00 7.938e-01 2.050e-01 2.195e-04 5.931e-05 5.385e-04 -1.000 1.229e-03 6.254 7.811 6.732 6.177 6.007 5.940 5.919
0.0013794 -1.05000 10.07188 0.6409358978 2.3468417083    0.641 -0.530  3.7296  4.645    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -1.95e-14      0.00 7.965e-01 2.022e-01 2.170e-04 5.863e-05 5.324e-04 -1.000 1.246e-03 6.096 7.535 6.532 6.013 5.859 5.802 5.785
0.0013794 -1.05000 10.07188 0.6499999762 2.3520353107    0.650 -0.492  3.7352  4.635    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.41e-14      0.00 7.983e-01 2.005e-01 2.154e-04 5.821e-05 5.287e-04 -1.000 1.198e-03 5.999 7.373 6.414 5.915 5.769 5.718 5.704
0.0013794 -1.05000 10.07188 0.6598683596 2.3575036106    0.660 -0.449  3.7408  4.622    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.68e-14      0.00 8.005e-01 1.983e-01 2.134e-04 5.768e-05 5.239e-04 -1.000 1.181e-03 5.894 7.205 6.287 5.809 5.670 5.625 5.614
0.0013794 -1.05000 10.07188 0.6734036207 2.3647048764    0.673 -0.391  3.7483  4.602    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1  -3.1e-14      0.00 8.038e-01 1.950e-01 2.105e-04 5.693e-05 5.171e-04 -1.000 1.172e-03 5.747 6.980 6.114 5.664 5.537 5.500 5.492
0.0013794 -1.05000 10.07188 0.6859077811 2.3710679380    0.686 -0.336  3.7550  4.582    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.74e-14      0.00 8.070e-01 1.918e-01 2.078e-04 5.619e-05 5.106e-04 -1.000 1.164e-03 5.610 6.775 5.954 5.529 5.413 5.383 5.379
0.0013794 -1.05000 10.07188 0.6981571913 2.3770478807    0.698 -0.281  3.7614  4.560    1  0.000  0.542     0.00     0.00     0.00     0.00     0.00 -1  -2.2e-14      0.00 8.103e-01 1.886e-01 2.049e-04 5.544e-05 5.039e-04 -1.000 1.142e-03 5.473 6.576 5.797 5.396 5.290 5.266 5.264
0.0013794 -1.05000 10.07188 0.6999999285 2.3779266691    0.700 -0.273  3.7623  4.557    1  0.000  0.542     0.00     0.00     0.00     0.00     0.00 -1 -4.21e-14      0.00 8.108e-01 1.881e-01 2.045e-04 5.533e-05 5.029e-04 -1.000 1.152e-03 5.452 6.547 5.773 5.376 5.271 5.249 5.247
0.0013794 -1.05000 10.07188 0.7034946084 2.3795787254    0.703 -0.257  3.7640  4.550    1  0.000  0.541     0.00     0.00     0.00     0.00     0.00 -1 -4.39e-14      0.00 8.119e-01 1.869e-01 2.033e-04 5.506e-05 5.006e-04 -1.000 1.164e-03 5.412 6.492 5.728 5.337 5.235 5.214 5.213
0.0013794 -1.05000 10.07188 0.7124182582 2.3837128069    0.712 -0.215  3.7684  4.531    1  0.000  0.540     0.00     0.00     0.00     0.00     0.00 -1 -4.91e-14      0.00 8.149e-01 1.840e-01 2.003e-04 5.436e-05 4.944e-04 -1.000 1.113e-03 5.308 6.350 5.612 5.237 5.141 5.125 5.126
0.0013794 -1.05000 10.07188 0.7210798860 2.3876131685    0.721 -0.174  3.7725  4.511    1  0.000  0.539     0.00     0.00     0.00     0.00     0.00 -1 -5.49e-14      0.00 8.180e-01 1.809e-01 1.972e-04 5.366e-05 4.882e-04 -1.000 1.071e-03 5.204 6.212 5.497 5.137 5.047 5.035 5.038
0.0013794 -1.05000 10.07188 0.7294036150 2.3912611726    0.729 -0.133  3.7762  4.490    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -6.15e-14      0.00 8.211e-01 1.778e-01 1.941e-04 5.295e-05 4.819e-04 -1.000 1.094e-03 5.101 6.078 5.384 5.038 4.954 4.946 4.950
0.0013794 -1.05000 10.07188 0.7404410839 2.3959533546    0.740 -0.076  3.7810  4.459    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -9.38e-15      0.00 8.254e-01 1.735e-01 1.900e-04 5.195e-05 4.732e-04 -1.000 1.072e-03 4.960 5.900 5.230 4.902 4.825 4.822 4.828
0.0013794 -1.05000 10.07188 0.7500000000 2.3998889087    0.750 -0.025  3.7849  4.429    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -8.34e-14      0.00 8.294e-01 1.695e-01 1.861e-04 5.104e-05 4.652e-04 -1.000 1.071e-03 4.831 5.746 5.091 4.777 4.707 4.707 4.714
0.0013794 -1.05000 10.07188 0.7572968602 2.4028163648    0.757  0.016  3.7875  4.402    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1  -9.4e-14      0.00 8.330e-01 1.659e-01 1.830e-04 5.021e-05 4.577e-04 -1.000 1.064e-03 4.729 5.626 4.982 4.677 4.611 4.614 4.622
0.0013794 -1.05000 10.07188 0.7651483417 2.4058947225    0.765  0.063  3.7901  4.371    1  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -1.08e-13      0.00 8.369e-01 1.621e-01 1.797e-04 4.933e-05 4.498e-04 -1.000 1.057e-03 4.612 5.492 4.858 4.563 4.501 4.506 4.515
0.0013794 -1.05000 10.07188 0.7755307555 2.4098555321    0.775  0.129  3.7932  4.323    1  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -1.31e-13      0.00 8.417e-01 1.573e-01 1.756e-04 4.820e-05 4.398e-04 -1.000 1.006e-03 4.448 5.309 4.685 4.403 4.345 4.354 4.363
0.0013794 -1.05000 10.07188 0.7852602005 2.4134581253    0.784  0.194  3.7955  4.272    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -1.61e-13      0.00 8.456e-01 1.534e-01 1.722e-04 4.729e-05 4.317e-04 -1.000 9.903e-04 4.285 5.131 4.515 4.241 4.188 4.198 4.209
0.0013794 -1.05000 10.07188 0.7938408256 2.4165512045    0.793  0.256  3.7969  4.220    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -1.97e-13      0.00 8.472e-01 1.517e-01 1.707e-04 4.691e-05 4.283e-04 -1.000 1.014e-03 4.129 4.966 4.354 4.087 4.036 4.048 4.059
0.0013794 -1.05000 10.07188 0.7957701087 2.4172361036    0.795  0.271  3.7971  4.208    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -4.58e-14      0.00 8.474e-01 1.515e-01 1.705e-04 4.686e-05 4.279e-04 -1.000 1.020e-03 4.093 4.928 4.317 4.051 4.000 4.012 4.023
